VISIT_AREA_NM,VISIT_AREA_MAIN_TYPE,VISIT_COUNT,VISIT_REASON,RES_CAFE
리보스코화덕피자,11,4,"[0.0, 1.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]",0
바다타이테라피,13,1,"[0.0, 0.0, 0.0, 1.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]",2
국수마당 본점,11,7,"[0.0, 0.571429, 0.0, 0.0, 0.142857, 0.0, 0.0, 0.142857, 0.142857, 0.0, 0.0]",0
메종글래드제주,24,67,"[0.059701, 0.149254, 0.0, 0.119403, 0.014925, 0.149254, 0.074627, 0.164179, 0.029851, 0.0, 0.238806]",0
어반스테이 제주연동,24,26,"[0.0, 0.461538, 0.076923, 0.038462, 0.038462, 0.076923, 0.038462, 0.038462, 0.0, 0.0, 0.230769]",2
스타벅스 제주용담DT점,11,38,"[0.131579, 0.078947, 0.0, 0.105263, 0.105263, 0.184211, 0.052632, 0.0, 0.289474, 0.0, 0.052632]",1
용두암,1,83,"[0.493976, 0.024096, 0.0, 0.120482, 0.048193, 0.13253, 0.0, 0.0, 0.180723, 0.0, 0.0]",2
연동마라도횟집,11,4,"[0.25, 0.25, 0.0, 0.0, 0.5, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]",0
롯데렌터카 제주오토하우스지점,10,36,"[0.0, 0.083333, 0.027778, 0.138889, 0.027778, 0.055556, 0.305556, 0.055556, 0.0, 0.0, 0.305556]",2
피쉬어바웃,11,3,"[0.0, 0.0, 0.0, 0.0, 0.666667, 0.0, 0.0, 0.0, 0.333333, 0.0, 0.0]",0
카페라라라,11,7,"[0.0, 0.428571, 0.0, 0.0, 0.142857, 0.142857, 0.0, 0.0, 0.285714, 0.0, 0.0]",1
아베끄0426,24,1,"[0.0, 0.0, 0.0, 1.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]",2
